Gene ID	Name	Organ	Cell type
AT1G70510	KNAT2	Root	Meristem_Metaphloem & Companion Cell
AT3G12730	PHL12	Root	Meristem_Metaphloem & Companion Cell
AT1G09460	AT1G09460	Root	Meristem_Metaphloem & Companion Cell
AT5G48480	AT5G48480	Root	Meristem_Metaphloem & Companion Cell
AT5G63990	SAL3	Root	Meristem_Metaphloem & Companion Cell
AT2G15310	ATARFB1A	Root	Meristem_Metaphloem & Companion Cell
AT5G47920	AT5G47920	Root	Meristem_Metaphloem & Companion Cell
AT5G06850	FTIP1	Root	Meristem_Metaphloem & Companion Cell
AT3G44220	AT3G44220	Root	Meristem_Metaphloem & Companion Cell
AT2G05760	NAT1	Root	Meristem_Metaphloem & Companion Cell
AT2G32990	AtGH9B8	Root	Meristem_Metaphloem & Companion Cell
AT1G79430	APL	Root	Meristem_Metaphloem & Companion Cell
AT2G45340	AT2G45340	Root	Meristem_Metaphloem & Companion Cell
AT1G14350	MYB124	Root	Meristem_Metaphloem & Companion Cell
AT5G11100	SYTD	Root	Meristem_Metaphloem & Companion Cell
AT4G02130	GATL6	Root	Meristem_Metaphloem & Companion Cell
AT1G78520	AT1G78520	Root	Meristem_Metaphloem & Companion Cell
AT2G36650	AT2G36650	Root	Meristem_Metaphloem & Companion Cell
AT5G02600	NAKR1	Root	Meristem_Metaphloem & Companion Cell
AT5G02750	SGR9	Root	Meristem_Metaphloem & Companion Cell
AT1G74510	AT1G74510	Root	Meristem_Metaphloem & Companion Cell
AT3G47500	CDF3	Root	Meristem_Metaphloem & Companion Cell
AT3G03495	AT3G03495	Root	Meristem_Metaphloem & Companion Cell
AT5G42146	AT5G42146	Root	Meristem_Metaphloem & Companion Cell
AT4G34590	BZIP11	Root	Meristem_Metaphloem & Companion Cell
AT1G69970	CLE26	Root	Meristem_Metaphloem & Companion Cell
AT2G22730	AT2G22730	Root	Meristem_Metaphloem & Companion Cell
AT4G36740	HB-5	Root	Meristem_Metaphloem & Companion Cell
AT3G55360	ECR	Root	Meristem_Metaphloem & Companion Cell
AT1G68020	TPS6	Root	Meristem_Metaphloem & Companion Cell
AT5G37485	AT5G37485	Root	Meristem_Metaphloem & Companion Cell
AT4G27450	AT4G27450	Root	Meristem_Metaphloem & Companion Cell
AT1G70270	AT1G70270	Root	Meristem_Metaxylem
AT1G12663	AT1G12663	Root	Meristem_Metaxylem
AT2G28490	AT2G28490	Root	Meristem_Metaxylem
AT3G54260	TBL36	Root	Meristem_Metaxylem
AT4G15802	HSBP	Root	Meristem_Metaxylem
AT1G16400	CYP79F2	Root	Meristem_Metaxylem
AT2G34060	PER19	Root	Meristem_Metaxylem
AT2G46572	AT2G46572	Root	Meristem_Metaxylem
AT5G47640	NFYB2	Root	Meristem_Metaxylem
AT3G54340	AP3	Root	Meristem_Metaxylem
AT4G16140	AT4G16140	Root	Meristem_Metaxylem
AT5G64667	IDL2	Root	Meristem_Metaxylem
AT3G42800	AT3G42800	Root	Meristem_Metaxylem
AT3G11640	AT3G11640	Root	Meristem_Metaxylem
AT3G57210	AT3G57210	Root	Meristem_Metaxylem
AT2G31070	TCP10	Root	Meristem_Metaxylem
AT1G29950	BHLH144	Root	Meristem_Metaxylem
AT2G40530	CEP15	Root	Meristem_Metaxylem
AT5G53710	AT5G53710	Root	Meristem_Metaxylem
AT1G14750	SDS	Root	Meristem_Metaxylem
AT5G37950	AT5G37950	Root	Meristem_Metaxylem
AT3G47290	ATPLC8	Root	Meristem_Metaxylem
AT5G01890	PXC2	Root	Meristem_Metaxylem
AT3G49750	AtRLP44	Root	Meristem_Metaxylem
AT5G06710	HAT14	Root	Meristem_Metaxylem
AT2G46770	NAC043	Root	Meristem_Metaxylem
AT3G59680	AT3G59680	Root	Meristem_Metaxylem
AT5G01740	AT5G01740	Root	Meristem_Metaxylem
AT3G17600	IAA31	Root	Meristem_Metaxylem
AT2G28410	AT2G28410	Root	Meristem_Metaxylem
AT1G23340	AT1G23340	Root	Meristem_Metaxylem
AT4G11950	AT4G11950	Root	Meristem_Metaxylem
AT4G22990	AT4G22990	Root	Meristem_Metaxylem
AT1G01380	ETC1	Root	Meristem_Metaxylem
AT1G28450	AGL58	Root	Meristem_Metaxylem
AT5G51210	OL3	Root	Meristem_Metaxylem
AT5G22580	AT5G22580	Root	Meristem_Metaxylem
AT1G04680	AT1G04680	Root	Meristem_Metaxylem
AT2G39870	AT2G39870	Root	Meristem_Metaxylem
AT2G03090	EXPA15	Root	Meristem_Metaxylem
AT5G66300	NAC105	Root	Meristem_Metaxylem
AT5G37590	AT5G37590	Root	Meristem_Metaxylem
AT1G53163	AT1G53163	Root	Meristem_Metaxylem
AT5G56970	CKX3	Root	Meristem_Metaxylem
AT3G23630	IPT7	Root	Meristem_Metaxylem
AT5G53830	VQ33	Root	Meristem_Metaxylem
AT5G01300	AT5G01300	Root	Meristem_Metaxylem
AT5G06380	AT5G06380	Root	Meristem_Metaxylem
AT1G29785	AT1G29785	Root	Meristem_Metaxylem
AT4G27460	CBSX5	Root	Meristem_Metaxylem
AT5G50610	AT5G50610	Root	Meristem_Phloem Pole Pericycle
AT1G26790	AT1G26790	Root	Meristem_Phloem Pole Pericycle
AT4G28250	EXPB3	Root	Meristem_Phloem Pole Pericycle
AT1G59530	BZIP4	Root	Meristem_Phloem Pole Pericycle
AT3G13560	AT3G13560	Root	Meristem_Phloem Pole Pericycle
AT3G62690	ATL5	Root	Meristem_Phloem Pole Pericycle
AT3G01220	ATHB-20	Root	Meristem_Phloem Pole Pericycle
AT5G52882	AT5G52882	Root	Meristem_Phloem Pole Pericycle
AT3G14570	CALS8	Root	Meristem_Phloem Pole Pericycle
AT4G27590	AT4G27590	Root	Meristem_Phloem Pole Pericycle
AT1G56210	HIPP35	Root	Meristem_Phloem Pole Pericycle
AT3G04530	PPCK2	Root	Meristem_Phloem Pole Pericycle
AT5G41905	MIR166E	Root	Meristem_Phloem Pole Pericycle
AT3G06360	AGP27	Root	Meristem_Phloem Pole Pericycle
AT5G19260	FAF3	Root	Meristem_Phloem Pole Pericycle
AT1G47570	AT1G47570	Root	Meristem_Phloem Pole Pericycle
AT4G29140	DTX51	Root	Meristem_Phloem Pole Pericycle
AT1G68130	IDD14	Root	Meristem_Phloem Pole Pericycle
AT5G44160	NUC	Root	Meristem_Phloem Pole Pericycle
AT5G47920	AT5G47920	Root	Meristem_Phloem Pole Pericycle
AT2G30070	POT1	Root	Meristem_Phloem Pole Pericycle
AT3G60490	ERF035	Root	Meristem_Phloem Pole Pericycle
AT1G56020	AT1G56020	Root	Meristem_Phloem Pole Pericycle
AT1G43910	AT1G43910	Root	Meristem_Phloem Pole Pericycle
AT1G09460	AT1G09460	Root	Meristem_Phloem Pole Pericycle
AT5G65030	AT5G65030	Root	Meristem_Phloem Pole Pericycle
AT2G31085	CLE6	Root	Meristem_Phloem Pole Pericycle
AT5G18690	AGP25	Root	Meristem_Phloem Pole Pericycle
AT3G49760	AtbZIP5	Root	Meristem_Phloem Pole Pericycle
AT1G31850	AT1G31850	Root	Meristem_Phloem Pole Pericycle
AT1G70940	PIN3	Root	Meristem_Phloem Pole Pericycle
AT2G40150	TBL28	Root	Meristem_Phloem Pole Pericycle
AT3G61820	AT3G61820	Root	Meristem_Phloem Pole Pericycle
AT4G24180	TLP1	Root	Meristem_Phloem Pole Pericycle
AT3G15680	AT3G15680	Root	Meristem_Phloem Pole Pericycle
AT5G62670	AHA11	Root	Meristem_Phloem Pole Pericycle
AT1G70990	AT1G70990	Root	Meristem_Phloem Pole Pericycle
AT5G19875	AT5G19875	Root	Meristem_Phloem Pole Pericycle
AT2G28810	DOF2.2	Root	Meristem_Phloem Pole Pericycle
AT5G37660	CRRSP60	Root	Meristem_Phloem Pole Pericycle
AT1G32240	KAN2	Root	Meristem_Phloem Pole Pericycle
AT3G06070	AT3G06070	Root	Meristem_Phloem Pole Pericycle
AT1G30080	AT1G30080	Root	Meristem_Phloem Pole Pericycle
AT5G67160	EPS1	Root	Meristem_Phloem Pole Pericycle
AT2G01680	AT2G01680	Root	Meristem_Phloem Pole Pericycle
AT1G71692	AGL12	Root	Meristem_Phloem Pole Pericycle
AT5G35670	iqd33	Root	Meristem_Phloem Pole Pericycle
AT3G15530	AT3G15530	Root	Meristem_Phloem Pole Pericycle
AT1G05835	AT1G05835	Root	Meristem_Phloem Pole Pericycle
AT5G24580	HIPP09	Root	Meristem_Phloem Pole Pericycle
AT4G17460	HAT1	Root	Meristem_Procambium
AT4G22900	AT4G22900	Root	Meristem_Procambium
AT1G25500	AT1G25500	Root	Meristem_Procambium
AT3G48550	AT3G48550	Root	Meristem_Procambium
AT5G19190	AT5G19190	Root	Meristem_Procambium
AT1G51170	UNC	Root	Meristem_Procambium
AT4G39640	GGT1	Root	Meristem_Procambium
AT3G49750	AtRLP44	Root	Meristem_Procambium
AT5G67390	AT5G67390	Root	Meristem_Procambium
AT4G30410	IBL1	Root	Meristem_Procambium
AT1G76190	AT1G76190	Root	Meristem_Procambium
AT2G34060	PER19	Root	Meristem_Procambium
AT1G68825	DVL5	Root	Meristem_Procambium
AT2G37380	MAKR3	Root	Meristem_Procambium
AT3G06750	AT3G06750	Root	Meristem_Procambium
AT1G73780	AT1G73780	Root	Meristem_Procambium
AT4G03415	AT4G03415	Root	Meristem_Procambium
AT5G44680	AT5G44680	Root	Meristem_Procambium
AT5G22930	AT5G22930	Root	Meristem_Procambium
AT4G39800	IPS1	Root	Meristem_Procambium
AT5G57770	AT5G57770	Root	Meristem_Procambium
AT3G29370	AT3G29370	Root	Meristem_Procambium
AT2G01940	SGR5	Root	Meristem_Procambium
AT5G08260	SCPL35	Root	Meristem_Procambium
AT3G16180	NPF1.1	Root	Meristem_Procambium
AT5G60142	AT5G60142	Root	Meristem_Procambium
AT1G69690	TCP15	Root	Meristem_Procambium
AT5G20885	AT5G20885	Root	Meristem_Procambium
AT4G04025	AT4G04025	Root	Meristem_Procambium
AT3G06070	AT3G06070	Root	Meristem_Procambium
AT3G42800	AT3G42800	Root	Meristem_Procambium
AT3G61640	AGP20	Root	Meristem_Procambium
AT3G59680	AT3G59680	Root	Meristem_Procambium
AT1G52190	NPF1.2	Root	Meristem_Procambium
AT2G03090	EXPA15	Root	Meristem_Procambium
AT3G07425	AT3G07425	Root	Meristem_Procambium
AT1G52540	AT1G52540	Root	Meristem_Procambium
AT4G11950	AT4G11950	Root	Meristem_Procambium
AT4G05525	AT4G05525	Root	Meristem_Procambium
AT5G51210	OL3	Root	Meristem_Procambium
AT5G39865	AT5G39865	Root	Meristem_Procambium
AT3G19300	AT3G19300	Root	Meristem_Procambium
AT1G79760	DTA4	Root	Meristem_Procambium
AT5G09805	IDL3	Root	Meristem_Procambium
AT1G19968	AT1G19968	Root	Meristem_Procambium
AT5G03960	IQD12	Root	Meristem_Procambium
AT3G54120	RTNLB12	Root	Meristem_Procambium
AT3G45780	PHOT1	Root	Meristem_Procambium
AT5G05690	CYP90A1	Root	Meristem_Procambium
AT4G16140	AT4G16140	Root	Meristem_Procambium
AT4G13600	AT4G13600	Root	Meristem_Protophloem
AT3G12710	AT3G12710	Root	Meristem_Protophloem
AT1G54330	ANAC020	Root	Meristem_Protophloem
AT3G17010	AT3G17010	Root	Meristem_Protophloem
AT2G16850	PIP2-8	Root	Meristem_Protophloem
AT2G18380	GATA20	Root	Meristem_Protophloem
AT5G02460	DOF5.1	Root	Meristem_Protophloem
AT2G44830	AT2G44830	Root	Meristem_Protophloem
AT3G19540	AT3G19540	Root	Meristem_Protophloem
AT2G37610	SMR12	Root	Meristem_Protophloem
AT1G11915	AT1G11915	Root	Meristem_Protophloem
AT3G28455	CLE25	Root	Meristem_Protophloem
AT2G41330	AT2G41330	Root	Meristem_Protophloem
AT3G54000	AT3G54000	Root	Meristem_Protophloem
AT5G67460	AT5G67460	Root	Meristem_Protophloem
AT4G29920	AT4G29920	Root	Meristem_Protophloem
AT5G40150	PER63	Root	Meristem_Protophloem
AT2G21060	CSP4	Root	Meristem_Protophloem
AT5G24920	GDU5	Root	Meristem_Protophloem
AT5G62940	DOF5.6	Root	Meristem_Protophloem
AT4G28330	AT4G28330	Root	Meristem_Protophloem
AT1G04680	AT1G04680	Root	Meristem_Protophloem
AT2G37590	DOF2.4	Root	Meristem_Protophloem
AT2G36410	AT2G36410	Root	Meristem_Protophloem
AT2G30060	RANBP1B	Root	Meristem_Protophloem
AT3G15530	AT3G15530	Root	Meristem_Protophloem
AT1G69970	CLE26	Root	Meristem_Protophloem
AT1G69580	AT1G69580	Root	Meristem_Protophloem
AT3G50780	AT3G50780	Root	Meristem_Protophloem
AT3G22440	FRL4A	Root	Meristem_Protophloem
AT3G54290	AT3G54290	Root	Meristem_Protophloem
AT1G60030	NAT7	Root	Meristem_Protophloem
AT4G14740	AT4G14740	Root	Meristem_Protophloem
AT2G44940	ERF034	Root	Meristem_Protophloem
AT5G15350	ENODL17	Root	Meristem_Protophloem
AT3G61640	AGP20	Root	Meristem_Protophloem
AT1G31940	AT1G31940	Root	Meristem_Protophloem
AT3G12830	SAUR72	Root	Meristem_Protophloem
AT5G40830	AT5G40830	Root	Meristem_Protophloem
AT2G37630	AS1	Root	Meristem_Protophloem
AT5G11100	SYTD	Root	Meristem_Protophloem
AT5G57130	SMXL5	Root	Meristem_Protophloem
AT4G37080	AT4G37080	Root	Meristem_Protophloem
AT3G45610	DOF3.2	Root	Meristem_Protophloem
AT5G48060	AT5G48060	Root	Meristem_Protophloem
AT1G19835	FPP4	Root	Meristem_Protophloem
AT1G08160	AT1G08160	Root	Meristem_Protophloem
AT5G14890	AT5G14890	Root	Meristem_Protophloem
AT2G39870	AT2G39870	Root	Meristem_Protophloem
AT5G13880	AT5G13880	Root	Meristem_Protophloem
AT5G49280	AT5G49280	Root	Meristem_Protoxylem
AT1G68490	AT1G68490	Root	Meristem_Protoxylem
AT1G14440	ZHD4	Root	Meristem_Protoxylem
AT1G09210	CRT2	Root	Meristem_Protoxylem
AT3G05180	AT3G05180	Root	Meristem_Protoxylem
AT5G57270	AT5G57270	Root	Meristem_Protoxylem
AT3G16490	IQD26	Root	Meristem_Protoxylem
AT2G39870	AT2G39870	Root	Meristem_Protoxylem
AT3G29770	MES11	Root	Meristem_Protoxylem
AT1G12420	ACR8	Root	Meristem_Protoxylem
AT4G13560	UNE15	Root	Meristem_Protoxylem
AT4G00440	AT4G00440	Root	Meristem_Protoxylem
AT1G03820	AT1G03820	Root	Meristem_Protoxylem
AT3G20820	AT3G20820	Root	Meristem_Protoxylem
AT3G17580	AT3G17580	Root	Meristem_Protoxylem
AT3G56660	BZIP49	Root	Meristem_Protoxylem
AT2G27130	XYP11	Root	Meristem_Protoxylem
AT1G52830	IAA6	Root	Meristem_Protoxylem
AT1G67510	AT1G67510	Root	Meristem_Protoxylem
AT5G60650	AT5G60650	Root	Meristem_Protoxylem
AT2G28420	AT2G28420	Root	Meristem_Protoxylem
AT3G42800	AT3G42800	Root	Meristem_Protoxylem
AT4G34420	AT4G34420	Root	Meristem_Protoxylem
AT4G34950	AT4G34950	Root	Meristem_Protoxylem
AT2G22670	IAA8	Root	Meristem_Protoxylem
AT4G16610	AT4G16610	Root	Meristem_Protoxylem
AT3G25710	BHLH32	Root	Meristem_Protoxylem
AT5G62770	AT5G62770	Root	Meristem_Protoxylem
AT1G78020	FLZ6	Root	Meristem_Protoxylem
AT3G17660	AGD15	Root	Meristem_Protoxylem
AT2G18060	NAC037	Root	Meristem_Protoxylem
AT5G25830	GATA12	Root	Meristem_Protoxylem
AT1G63520	AT1G63520	Root	Meristem_Protoxylem
AT3G54000	AT3G54000	Root	Meristem_Protoxylem
AT3G19260	LAG2	Root	Meristem_Protoxylem
AT5G35960	AT5G35960	Root	Meristem_Protoxylem
AT4G13620	ERF062	Root	Meristem_Protoxylem
AT3G53010	AT3G53010	Root	Meristem_Protoxylem
AT5G48500	AT5G48500	Root	Meristem_Protoxylem
AT2G44680	CKB4	Root	Meristem_Protoxylem
AT5G02010	ROPGEF7	Root	Meristem_Protoxylem
AT1G75550	AT1G75550	Root	Meristem_Protoxylem
AT2G25190	AT2G25190	Root	Meristem_Protoxylem
AT2G35470	AT2G35470	Root	Meristem_Protoxylem
AT4G38650	AT4G38650	Root	Meristem_Protoxylem
AT5G62320	MYB99	Root	Meristem_Protoxylem
AT3G55690	AT3G55690	Root	Meristem_Protoxylem
AT5G64530	NAC104	Root	Meristem_Protoxylem
AT2G28200	ZAT5	Root	Meristem_Protoxylem
AT2G35110	NAP1	Root	Meristem_Protoxylem
AT3G26120	TEL1	Root	Meristem_Quiescent Center
AT1G47270	TULP6	Root	Meristem_Quiescent Center
AT3G55550	LECRKS4	Root	Meristem_Quiescent Center
AT1G70480	AT1G70480	Root	Meristem_Quiescent Center
AT3G60650	AT3G60650	Root	Meristem_Quiescent Center
AT3G57670	WIP2	Root	Meristem_Quiescent Center
AT1G09570	PHYA	Root	Meristem_Quiescent Center
AT1G18250	ATLP-1	Root	Meristem_Quiescent Center
AT2G25130	AT2G25130	Root	Meristem_Quiescent Center
AT5G26910	AT5G26910	Root	Meristem_Quiescent Center
AT1G17400	AT1G17400	Root	Meristem_Quiescent Center
AT1G75580	AT1G75580	Root	Meristem_Quiescent Center
AT3G51750	AT3G51750	Root	Meristem_Quiescent Center
AT2G21050	LAX2	Root	Meristem_Quiescent Center
AT3G25130	AT3G25130	Root	Meristem_Quiescent Center
AT3G19500	BHLH113	Root	Meristem_Quiescent Center
AT5G08565	AT5G08565	Root	Meristem_Quiescent Center
AT3G01310	AT3G01310	Root	Meristem_Quiescent Center
AT2G33510	AT2G33510	Root	Meristem_Quiescent Center
AT1G16020	CCZ1A	Root	Meristem_Quiescent Center
AT5G57420	IAA33	Root	Meristem_Quiescent Center
AT5G09960	AT5G09960	Root	Meristem_Quiescent Center
AT2G03830	RGF8	Root	Meristem_Quiescent Center
AT5G67200	AT5G67200	Root	Meristem_Quiescent Center
AT3G20840	PLT1	Root	Meristem_Quiescent Center
AT1G49390	AT1G49390	Root	Meristem_Quiescent Center
AT3G48770	AT3G48770	Root	Meristem_Quiescent Center
AT1G29980	AT1G29980	Root	Meristem_Quiescent Center
AT5G65700	BAM1	Root	Meristem_Quiescent Center
AT3G07760	AT3G07760	Root	Meristem_Quiescent Center
AT3G23570	AT3G23570	Root	Meristem_Quiescent Center
AT3G30350	RGF4	Root	Meristem_Quiescent Center
AT1G18265	AT1G18265	Root	Meristem_Quiescent Center
AT2G46990	IAA20	Root	Meristem_Quiescent Center
AT3G02210	COBL1	Root	Meristem_Quiescent Center
AT1G54385	SINE1	Root	Meristem_Quiescent Center
AT5G09300	AT5G09300	Root	Meristem_Quiescent Center
AT2G45660	SOC1	Root	Meristem_Quiescent Center
AT1G49475	AT1G49475	Root	Meristem_Quiescent Center
AT3G48670	IDN2	Root	Meristem_Quiescent Center
AT2G28790	AT2G28790	Root	Meristem_Quiescent Center
AT2G45340	AT2G45340	Root	Meristem_Quiescent Center
AT5G51550	EXL3	Root	Meristem_Quiescent Center
AT1G35230	AGP5	Root	Meristem_Quiescent Center
AT3G10780	AT3G10780	Root	Meristem_Quiescent Center
AT4G14270	CID2	Root	Meristem_Quiescent Center
AT1G13620	RGF2	Root	Meristem_Quiescent Center
AT4G35720	AT4G35720	Root	Meristem_Quiescent Center
AT3G63240	IP5P4	Root	Meristem_Quiescent Center
AT5G59790	AT5G59790	Root	Meristem_Quiescent Center
AT3G53370	S1FA1	Root	Meristem_Trichoblast
AT1G27140	GSTU14	Root	Meristem_Trichoblast
AT3G54960	PDIL1-3	Root	Meristem_Trichoblast
AT5G44820	AT5G44820	Root	Meristem_Trichoblast
AT2G32380	AT2G32380	Root	Meristem_Trichoblast
AT1G21750	PDIL1-1	Root	Meristem_Trichoblast
AT5G42020	BIP	Root	Meristem_Trichoblast
AT5G37800	BHLH86	Root	Meristem_Trichoblast
AT1G74210	GDPD5	Root	Meristem_Trichoblast
AT2G43460	RPL38A	Root	Meristem_Trichoblast
AT5G14150	AT5G14150	Root	Meristem_Trichoblast
AT5G48580	FKBP15-2	Root	Meristem_Trichoblast
AT2G35610	XEG113	Root	Meristem_Trichoblast
AT4G31985	RPL39A	Root	Meristem_Trichoblast
AT1G67430	RPL17B	Root	Meristem_Trichoblast
AT3G02230	RGP1	Root	Meristem_Trichoblast
AT5G28540	MED37A	Root	Meristem_Trichoblast
AT3G61270	AT3G61270	Root	Meristem_Trichoblast
AT2G33840	AT2G33840	Root	Meristem_Trichoblast
AT1G32210	DAD1	Root	Meristem_Trichoblast
AT3G52760	AT3G52760	Root	Meristem_Trichoblast
AT4G00480	ATMYC1	Root	Meristem_Trichoblast
AT2G14100	CYP705A13	Root	Meristem_Trichoblast
AT1G05210	AT1G05210	Root	Meristem_Trichoblast
AT3G06300	P4H2	Root	Meristem_Trichoblast
AT3G20370	AT3G20370	Root	Meristem_Trichoblast
AT3G62600	ERDJ3B	Root	Meristem_Trichoblast
AT1G26945	PRE6	Root	Meristem_Trichoblast
AT1G67760	AT1G67760	Root	Meristem_Trichoblast
AT5G27700	RPS21C	Root	Meristem_Trichoblast
AT1G56340	CRT1	Root	Meristem_Trichoblast
AT4G27480	AT4G27480	Root	Meristem_Trichoblast
AT3G18740	RPL30C	Root	Meristem_Trichoblast
AT5G14030	AT5G14030	Root	Meristem_Trichoblast
AT4G16660	AT4G16660	Root	Meristem_Trichoblast
AT3G62120	AT3G62120	Root	Meristem_Trichoblast
AT2G19730	RPL28A	Root	Meristem_Trichoblast
AT4G00810	RPP1B	Root	Meristem_Trichoblast
AT1G13510	AT1G13510	Root	Meristem_Trichoblast
AT1G15930	RPS12A	Root	Meristem_Trichoblast
AT3G60440	AT3G60440	Root	Meristem_Trichoblast
AT5G27850	RPL18C	Root	Meristem_Trichoblast
AT3G59540	RPL38A	Root	Meristem_Trichoblast
AT1G79075	AT1G79075	Root	Meristem_Trichoblast
AT1G52600	AT1G52600	Root	Meristem_Trichoblast
AT3G06700	RPL29A	Root	Meristem_Trichoblast
AT3G09330	AVT1G	Root	Meristem_Trichoblast
AT2G27530	RPL10AB	Root	Meristem_Trichoblast
AT1G62810	AT1G62810	Root	Meristem_Trichoblast
AT3G18760	AT3G18760	Root	Meristem_Trichoblast
AT2G26700	PID2	Root	Meristem_Xylem Pole Pericycle
AT5G47500	PME68	Root	Meristem_Xylem Pole Pericycle
AT3G21330	BHLH87	Root	Meristem_Xylem Pole Pericycle
AT2G26040	PYL2	Root	Meristem_Xylem Pole Pericycle
AT5G07030	AT5G07030	Root	Meristem_Xylem Pole Pericycle
AT2G31310	LBD14	Root	Meristem_Xylem Pole Pericycle
AT2G07680	ATMRP11	Root	Meristem_Xylem Pole Pericycle
AT5G09760	AT5G09760	Root	Meristem_Xylem Pole Pericycle
AT4G20230	AT4G20230	Root	Meristem_Xylem Pole Pericycle
AT4G20210	TPS08	Root	Meristem_Xylem Pole Pericycle
AT2G18800	XTH21	Root	Meristem_Xylem Pole Pericycle
AT4G09320	NDK1	Root	Meristem_Xylem Pole Pericycle
AT5G08320	AT5G08320	Root	Meristem_Xylem Pole Pericycle
AT4G37650	SHR	Root	Meristem_Xylem Pole Pericycle
AT4G37235	AT4G37235	Root	Meristem_Xylem Pole Pericycle
AT1G14980	CPN10	Root	Meristem_Xylem Pole Pericycle
AT1G14320	RPL10A	Root	Meristem_Xylem Pole Pericycle
AT1G18080	RACK1A	Root	Meristem_Xylem Pole Pericycle
AT5G35770	SAP	Root	Meristem_Xylem Pole Pericycle
AT4G13850	RBG2	Root	Meristem_Xylem Pole Pericycle
AT5G16570	GLN1-4	Root	Meristem_Xylem Pole Pericycle
AT3G29370	AT3G29370	Root	Meristem_Xylem Pole Pericycle
AT3G62530	AT3G62530	Root	Meristem_Xylem Pole Pericycle
AT3G61490	AT3G61490	Root	Meristem_Xylem Pole Pericycle
AT5G65340	AT5G65340	Root	Meristem_Xylem Pole Pericycle
AT5G08330	TCP21	Root	Meristem_Xylem Pole Pericycle
AT5G41520	RPS10B	Root	Meristem_Xylem Pole Pericycle
AT4G24770	CP31A	Root	Meristem_Xylem Pole Pericycle
AT4G30220	RUXF	Root	Meristem_Xylem Pole Pericycle
AT5G44530	AT5G44530	Root	Meristem_Xylem Pole Pericycle
AT1G64220	TOM7-2	Root	Meristem_Xylem Pole Pericycle
AT3G12390	AT3G12390	Root	Meristem_Xylem Pole Pericycle
AT1G28080	AT1G28080	Root	Meristem_Xylem Pole Pericycle
AT3G11510	RPS14B	Root	Meristem_Xylem Pole Pericycle
AT2G33210	HSP60-2	Root	Meristem_Xylem Pole Pericycle
AT1G06113	AT1G06113	Root	Meristem_Xylem Pole Pericycle
AT4G31700	RPS6A	Root	Meristem_Xylem Pole Pericycle
AT2G23530	AT2G23530	Root	Meristem_Xylem Pole Pericycle
AT3G24830	RPL13AB	Root	Meristem_Xylem Pole Pericycle
AT1G52300	RPL37B	Root	Meristem_Xylem Pole Pericycle
AT5G60390	A1	Root	Meristem_Xylem Pole Pericycle
AT2G37880	AT2G37880	Root	Meristem_Xylem Pole Pericycle
AT4G31360	AT4G31360	Root	Meristem_Xylem Pole Pericycle
AT5G26360	CCT3	Root	Meristem_Xylem Pole Pericycle
AT5G02450	RPL36C	Root	Meristem_Xylem Pole Pericycle
AT2G05220	RPS17B	Root	Meristem_Xylem Pole Pericycle
AT3G11940	RPS5B	Root	Meristem_Xylem Pole Pericycle
AT5G35530	RPS3C	Root	Meristem_Xylem Pole Pericycle
AT5G41905	MIR166E	Root	Meristem_Xylem Pole Pericycle
AT5G07090	RPS4B	Root	Meristem_Xylem Pole Pericycle
AT5G09960	AT5G09960	Root	Proximal Columella
AT1G13620	RGF2	Root	Proximal Columella
AT4G37940	AGL21	Root	Proximal Columella
AT3G60650	AT3G60650	Root	Proximal Columella
AT1G18265	AT1G18265	Root	Proximal Columella
AT1G17400	AT1G17400	Root	Proximal Columella
AT1G09570	PHYA	Root	Proximal Columella
AT1G26680	AT1G26680	Root	Proximal Columella
AT5G07550	GRP19	Root	Proximal Columella
AT1G08350	TMN5	Root	Proximal Columella
AT3G55550	LECRKS4	Root	Proximal Columella
AT3G18230	AT3G18230	Root	Proximal Columella
AT1G13530	AT1G13530	Root	Proximal Columella
AT1G04610	YUC3	Root	Proximal Columella
AT3G01690	AT3G01690	Root	Proximal Columella
AT4G34970	ADF9	Root	Proximal Columella
AT2G04025	RGF3	Root	Proximal Columella
AT4G00490	BAM2	Root	Proximal Columella
AT3G55880	SUE4	Root	Proximal Columella
AT5G59790	AT5G59790	Root	Proximal Columella
AT2G46850	AT2G46850	Root	Proximal Columella
AT3G05200	ATL6	Root	Proximal Columella
AT3G20840	PLT1	Root	Proximal Columella
AT4G39400	BRI1	Root	Proximal Columella
AT5G10820	AT5G10820	Root	Proximal Columella
AT1G35230	AGP5	Root	Proximal Columella
AT2G01420	PIN4	Root	Proximal Columella
AT3G60670	AT3G60670	Root	Proximal Columella
AT3G03620	DTX24	Root	Proximal Columella
AT2G23360	FPP7	Root	Proximal Columella
AT4G35720	AT4G35720	Root	Proximal Columella
AT4G27520	ENODL2	Root	Proximal Columella
AT5G58580	ATL63	Root	Proximal Columella
AT1G14720	XTH28	Root	Proximal Columella
AT1G53070	AT1G53070	Root	Proximal Columella
AT1G10760	GWD1	Root	Proximal Columella
AT1G56680	AT1G56680	Root	Proximal Columella
AT5G48130	AT5G48130	Root	Proximal Columella
AT4G25240	SKS1	Root	Proximal Columella
AT2G34020	AT2G34020	Root	Proximal Columella
AT3G02210	COBL1	Root	Proximal Columella
AT3G23280	XBAT35	Root	Proximal Columella
AT1G01570	AT1G01570	Root	Proximal Columella
AT4G24710	AT4G24710	Root	Proximal Columella
AT5G65700	BAM1	Root	Proximal Columella
